"panpipe, pandean pipe, syrinx","passenger car, coach, carriage",park bench,palace,"parachute, chute",paper towel,packet,"parallel bars, bars",parking meter,"promontory, headland, head, foreland",oil filter,"patio, terrace","organ, pipe organ",alp,"oscilloscope, scope, cathode-ray oscilloscope, CRO","paddle, boat paddle",coral reef,"pajama, pyjama, pj's, jammies",oxygen mask,paintbrush,"cliff, drop, drop-off",overskirt,oxcart,padlock,bubble,"paddlewheel, paddle wheel",geyser,rapeseed,"lakeside, lakeshore",photocopier,"pizza, pizza pie",coral fungus,eggnog,"buckeye, horse chestnut, conker",red wine,"pencil box, pencil case",burrito,pencil sharpener,"pedestal, plinth, footstall",daisy,potpie,Petri dish,"pay-phone, pay-station","perfume, essence",cup,acorn,"hip, rose hip, rosehip","yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",corn,espresso
shovel,shower cap,"flagpole, flagstaff",shower curtain,keeshond,ski,"chiffonier, commode",ski mask,Brabancon griffon,"Newfoundland, Newfoundland dog",Leonberg,combination lock,"chow, chow chow","cello, violoncello",Great Pyrenees,"coil, spiral, volute, whorl, helix","flute, transverse flute","Pembroke, Pembroke Welsh corgi",coffeepot,"pug, pug-dog",Pomeranian,"Samoyed, Samoyede","malamute, malemute, Alaskan malamute",cocktail shaker,coffee mug,sleeping bag,"clog, geta, patten, sabot",basenji,"affenpinscher, monkey pinscher, monkey dog",cloak,"white wolf, Arctic wolf, Canis lupus tundrarum",chest,"dalmatian, coach dog, carriage dog",forklift,Siberian husky,fountain,folding chair,football helmet,fountain pen,"timber wolf, grey wolf, gray wolf, Canis lupus","Cardigan, Cardigan Welsh corgi",standard poodle,miniature poodle,Mexican hairless,toy poodle,chain,"cellular telephone, cellular phone, cellphone, cell, mobile phone",chainlink fence,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","chain saw, chainsaw"
bluetick,Irish wolfhound,black-and-tan coonhound,"borzoi, Russian wolfhound",English foxhound,"liner, ocean liner","Walker hound, Walker foxhound",redbone,beagle,"bloodhound, sleuthhound","Pekinese, Pekingese, Peke",sea lion,Japanese spaniel,Chihuahua,"dugong, Dugong dugon","killer whale, killer, orca, grampus, sea wolf, Orcinus orca","Maltese dog, Maltese terrier, Maltese",kimono,Shih-Tzu,"lawn mower, mower","lipstick, lip rouge",papillon,"basset, basset hound",Blenheim spaniel,toy terrier,"lighter, light, igniter, ignitor","limousine, limo",lifeboat,Rhodesian ridgeback,"Afghan hound, Afghan",lotion,library,"lens cap, lens cover","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",Loafer,"loupe, jeweler's loupe","letter opener, paper knife, paperknife",knee pad,knot,"Scottish deerhound, deerhound","lab coat, laboratory coat","lampshade, lamp shade",ladle,"laptop, laptop computer",Italian greyhound,"Saluki, gazelle hound",whippet,"otterhound, otter hound","Ibizan hound, Ibizan Podenco","Norwegian elkhound, elkhound"
wire-haired fox terrier,Lakeland terrier,"Airedale, Airedale terrier","Sealyham terrier, Sealyham",Norfolk terrier,Yorkshire terrier,Norwich terrier,"Shetland sheepdog, Shetland sheep dog, Shetland",collie,Border collie,komondor,"Old English sheepdog, bobtail","Bouvier des Flandres, Bouviers des Flandres","cairn, cairn terrier",kelpie,"Irish setter, red setter",briard,Irish water spaniel,Gordon setter,Sussex spaniel,curly-coated retriever,Brittany spaniel,kuvasz,malinois,groenendael,schipperke,Australian terrier,"Scotch terrier, Scottish terrier, Scottie","clumber, clumber spaniel","silky terrier, Sydney silky","cocker spaniel, English cocker spaniel, cocker",Weimaraner,miniature schnauzer,giant schnauzer,"Boston bull, Boston terrier","English springer, English springer spaniel",Welsh springer spaniel,soft-coated wheaten terrier,"Dandie Dinmont, Dandie Dinmont terrier",West Highland white terrier,standard schnauzer,"Tibetan terrier, chrysanthemum dog",Bedlington terrier,Irish terrier,"Lhasa, Lhasa apso",Kerry blue terrier,"Staffordshire bullterrier, Staffordshire bull terrier",Border terrier,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",flat-coated retriever
wreck,water jug,"bagel, beigel",broccoli,acorn squash,cauliflower,"ice cream, icecream",Windsor tie,"worm fence, snake fence, snake-rail fence, Virginia fence",head cabbage,"hotdog, hot dog, red hot",spaghetti squash,"zucchini, courgette",pretzel,French loaf,mashed potato,"ice lolly, lolly, lollipop, popsicle",window shade,wine bottle,cheeseburger,water tower,yawl,whiskey jug,street sign,yurt,"crossword puzzle, crossword","wool, woolen, woollen",comic book,"web site, website, internet site, site",wooden spoon,wing,window screen,whistle,"traffic light, traffic signal, stoplight",wig,wok,trifle,"harvestman, daddy longlegs, Phalangium opilio",trilobite,"sidewinder, horned rattlesnake, Crotalus cerastes","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus","diamondback, diamondback rattlesnake, Crotalus adamanteus",sea snake,green mamba,"hot pot, hotpot",plate,consomme,menu,guacamole,"book jacket, dust cover, dust jacket, dust wrapper"
"squirrel monkey, Saimiri sciureus","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","African elephant, Loxodonta africana","Indian elephant, Elephas maximus",lionfish,"Madagascar cat, ring-tailed lemur, Lemur catta","spider monkey, Ateles geoffroyi","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","indri, indris, Indri indri, Indri brevicaudatus","apiary, bee house","balance beam, beam","gar, garfish, garpike, billfish, Lepisosteus osseus","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",balloon,apron,"assault rifle, assault gun","backpack, back pack, knapsack, packsack, rucksack, haversack",acoustic guitar,"bakery, bakeshop, bakehouse","aircraft carrier, carrier, flattop, attack aircraft carrier","barracouta, snoek","gibbon, Hylobates lar",analog clock,"puffer, pufferfish, blowfish, globefish","accordion, piano accordion, squeeze box",abacus,"howler monkey, howler",langur,"titi, titi monkey",abaya,sturgeon,airliner,baboon,"capuchin, ringtail, Cebus capucinus","siamang, Hylobates syndactylus, Symphalangus syndactylus","colobus, colobus monkey","amphibian, amphibious vehicle",anemone fish,"patas, hussar monkey, Erythrocebus patas","rock beauty, Holocanthus tricolor","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",eel,ambulance,"guenon, guenon monkey","academic gown, academic robe, judge's robe",macaque,altar,marmoset,"airship, dirigible","proboscis monkey, Nasalis larvatus"
mud turtle,"box turtle, box tortoise",banded gecko,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",terrapin,"whiptail, whiptail lizard","common iguana, iguana, Iguana iguana","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",agama,"American chameleon, anole, Anolis carolinensis","African chameleon, Chamaeleo chamaeleon","Gila monster, Heloderma suspectum",alligator lizard,"green lizard, Lacerta viridis","frilled lizard, Chlamydosaurus kingi","loggerhead, loggerhead turtle, Caretta caretta","indigo bunting, indigo finch, indigo bird, Passerina cyanea","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","African crocodile, Nile crocodile, Crocodylus niloticus","tree frog, tree-frog","bullfrog, Rana catesbeiana","axolotl, mud puppy, Ambystoma mexicanum","European fire salamander, Salamandra salamandra",eft,"spotted salamander, Ambystoma maculatum","great grey owl, great gray owl, Strix nebulosa","common newt, Triturus vulgaris","water ouzel, dipper","robin, American robin, Turdus migratorius",magpie,chickadee,bulbul,vulture,jay,kite,"bald eagle, American eagle, Haliaeetus leucocephalus",cock,"brambling, Fringilla montifringilla","junco, snowbird","goldfinch, Carduelis carduelis","tiger shark, Galeocerdo cuvieri","ostrich, Struthio camelus",stingray,hen,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","electric ray, crampfish, numbfish, torpedo","goldfish, Carassius auratus","house finch, linnet, Carpodacus mexicanus","tench, Tinca tinca"
conch,snail,slug,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","red-breasted merganser, Mergus serrator","rock crab, Cancer irroratus",coucal,"sea slug, nudibranch","chiton, coat-of-mail shell, sea cradle, polyplacophore","wolf spider, hunting spider","chambered nautilus, pearly nautilus, nautilus",peacock,hornbill,tarantula,toucan,"Dungeness crab, Cancer magister",jacamar,wombat,fiddler crab,bee eater,"barn spider, Araneus cavaticus","garden spider, Aranea diademata","black and gold garden spider, Argiope aurantia",scorpion,brain coral,"black widow, Latrodectus mactans",hummingbird,drake,jellyfish,"sea anemone, anemone",partridge,goose,"flatworm, platyhelminth","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",macaw,"ruffed grouse, partridge, Bonasa umbellus","African grey, African gray, Psittacus erithacus","wallaby, brush kangaroo","prairie chicken, prairie grouse, prairie fowl","black swan, Cygnus atratus",lorikeet,quail,tusker,ptarmigan,tick,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",black grouse,"echidna, spiny anteater, anteater",centipede,"nematode, nematode worm, roundworm"
Crock Pot,"crib, cot",crate,crash helmet,cradle,crane,"cowboy hat, ten-gallon hat","dial telephone, dial phone",electric guitar,electric locomotive,envelope,desktop computer,"electric fan, blower",dumbbell,desk,Dutch oven,entertainment center,"dam, dike, dyke",cuirass,croquet ball,crutch,"dock, dockage, docking facility",espresso maker,cliff dwelling,"diaper, nappy, napkin","dishrag, dishcloth","cleaver, meat cleaver, chopper",cowboy boot,"dogsled, dog sled, dog sleigh",digital clock,"dishwasher, dish washer, dishwashing machine",digital watch,"chime, bell, gong","dining table, board","computer keyboard, keypad","cinema, movie theater, movie theatre, movie house, picture palace","church, church building","cornet, horn, trumpet, trump","container ship, containership, container vessel",drumstick,"disk brake, disc brake","confectionery, confectionary, candy store",Christmas stocking,"china cabinet, china closet","corkscrew, bottle screw",dome,"doormat, welcome mat",convertible,"drum, membranophone, tympan","drilling platform, offshore rig"
hair spray,hair slide,"grand piano, grand",guillotine,gown,"greenhouse, nursery, glasshouse","grocery store, grocery, food market, market","grille, radiator grille",half track,"rock python, rock snake, Python sebae","gas pump, gasoline pump, petrol pump, island dispenser",vine snake,"night snake, Hypsiglena torquata",water snake,"gong, tam-tam","golfcart, golf cart",goblet,"boa constrictor, Constrictor constrictor","garter snake, grass snake","hook, claw","king snake, kingsnake",gondola,"Indian cobra, Naja naja",golf ball,go-kart,"green snake, grass snake",hammer,"hard disc, hard disk, fixed disk","gasmask, respirator, gas helmet",freight car,"hognose snake, puff adder, sand viper","harmonica, mouth organ, harp, mouth harp",triceratops,"thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","American alligator, Alligator mississipiensis","garbage truck, dustcart",hamper,"hand blower, blow dryer, blow drier, hair dryer, hair drier","hand-held computer, hand-held microcomputer","French horn, horn",fur coat,"frying pan, frypan, skillet","handkerchief, hankie, hanky, hankey",hatchet,holster,"harvester, reaper",honeycomb,"home theater, home theatre",harp
