,inset_accuracy,outofset_accuracy
0,0.9432947019867549,0.6308541748505085
1,0.8963666391412056,0.6332940457482102
2,0.855546357615894,0.6354807734276112
3,0.8278118609406953,0.6368222217369467
4,0.7989970748015044,0.6385429163485659
5,0.7741666666666667,0.6398184912081679
6,0.7494858083093378,0.6410373960311743
7,0.7252289758534555,0.6423771707827908
8,0.6979166666666666,0.643810811990052
9,0.6726899383983573,0.6451105822762702
10,0.6499791405924071,0.646320979036234
11,0.6216887417218543,0.6478110951071537
12,0.5977537437603994,0.6490596500414539
13,0.572247237003684,0.6504640244568184
14,0.5440931780366056,0.6518741545577519
15,0.5066611157368859,0.6538310498298281
16,0.4717607973421927,0.6556840497490727
17,0.4315525876460768,0.657737446010209
18,0.36083333333333334,0.6614599240804573
19,0.22508305647840532,0.668644992363081
