"panpipe, pandean pipe, syrinx","passenger car, coach, carriage",park bench,"parachute, chute",paper towel,"parallel bars, bars",palace,parking meter,"promontory, headland, head, foreland",packet,oil filter,"organ, pipe organ","paddle, boat paddle","pajama, pyjama, pj's, jammies","patio, terrace","oscilloscope, scope, cathode-ray oscilloscope, CRO",paintbrush,alp,coral reef,padlock,oxygen mask,"paddlewheel, paddle wheel","cliff, drop, drop-off",overskirt,oxcart,bubble,geyser,"lakeside, lakeshore",rapeseed,"pizza, pizza pie",eggnog,photocopier,coral fungus,"buckeye, horse chestnut, conker",red wine,burrito,"pencil box, pencil case",pencil sharpener,potpie,daisy,cup,"pedestal, plinth, footstall",Petri dish,"pay-phone, pay-station","perfume, essence","hip, rose hip, rosehip",acorn,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",espresso,corn
wire-haired fox terrier,Lakeland terrier,"Airedale, Airedale terrier","Sealyham terrier, Sealyham",Yorkshire terrier,Norfolk terrier,Norwich terrier,"Shetland sheepdog, Shetland sheep dog, Shetland",collie,Border collie,"Old English sheepdog, bobtail",komondor,"Bouvier des Flandres, Bouviers des Flandres","cairn, cairn terrier",kelpie,"Irish setter, red setter",briard,Gordon setter,Irish water spaniel,curly-coated retriever,Sussex spaniel,kuvasz,malinois,Brittany spaniel,schipperke,groenendael,Australian terrier,"Scotch terrier, Scottish terrier, Scottie",miniature schnauzer,giant schnauzer,"clumber, clumber spaniel","Boston bull, Boston terrier","silky terrier, Sydney silky","cocker spaniel, English cocker spaniel, cocker",Weimaraner,"Dandie Dinmont, Dandie Dinmont terrier",standard schnauzer,"English springer, English springer spaniel",Welsh springer spaniel,soft-coated wheaten terrier,West Highland white terrier,Bedlington terrier,"Tibetan terrier, chrysanthemum dog",Irish terrier,"Lhasa, Lhasa apso",Kerry blue terrier,"Staffordshire bullterrier, Staffordshire bull terrier",Border terrier,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",flat-coated retriever
mud turtle,banded gecko,"box turtle, box tortoise","common iguana, iguana, Iguana iguana","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","whiptail, whiptail lizard","American chameleon, anole, Anolis carolinensis",terrapin,agama,"African chameleon, Chamaeleo chamaeleon","Gila monster, Heloderma suspectum",alligator lizard,"green lizard, Lacerta viridis","frilled lizard, Chlamydosaurus kingi","leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea","loggerhead, loggerhead turtle, Caretta caretta","African crocodile, Nile crocodile, Crocodylus niloticus","indigo bunting, indigo finch, indigo bird, Passerina cyanea","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","tree frog, tree-frog","bullfrog, Rana catesbeiana","axolotl, mud puppy, Ambystoma mexicanum","European fire salamander, Salamandra salamandra","robin, American robin, Turdus migratorius","spotted salamander, Ambystoma maculatum",bulbul,magpie,eft,"great grey owl, great gray owl, Strix nebulosa",chickadee,"common newt, Triturus vulgaris","water ouzel, dipper",jay,vulture,kite,"bald eagle, American eagle, Haliaeetus leucocephalus",cock,"brambling, Fringilla montifringilla","junco, snowbird","tiger shark, Galeocerdo cuvieri","goldfinch, Carduelis carduelis",stingray,"ostrich, Struthio camelus",hen,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","electric ray, crampfish, numbfish, torpedo","goldfish, Carassius auratus","house finch, linnet, Carpodacus mexicanus","tench, Tinca tinca"
shower cap,shovel,shower curtain,"flagpole, flagstaff",ski,ski mask,"chiffonier, commode",combination lock,cliff dwelling,keeshond,"coil, spiral, volute, whorl, helix",coffeepot,"flute, transverse flute",cocktail shaker,coffee mug,Brabancon griffon,"clog, geta, patten, sabot",cloak,"Newfoundland, Newfoundland dog",Leonberg,"chow, chow chow","cello, violoncello",Great Pyrenees,"Samoyed, Samoyede",Pomeranian,"pug, pug-dog","malamute, malemute, Alaskan malamute","Pembroke, Pembroke Welsh corgi",forklift,fountain,folding chair,basenji,football helmet,"white wolf, Arctic wolf, Canis lupus tundrarum",fountain pen,"affenpinscher, monkey pinscher, monkey dog",chest,"dalmatian, coach dog, carriage dog",Siberian husky,"timber wolf, grey wolf, gray wolf, Canis lupus","Cardigan, Cardigan Welsh corgi",standard poodle,miniature poodle,toy poodle,Mexican hairless,chain,"cellular telephone, cellular phone, cellphone, cell, mobile phone",chainlink fence,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","chain saw, chainsaw"
wreck,acorn squash,water jug,broccoli,"bagel, beigel",cauliflower,"ice cream, icecream",head cabbage,spaghetti squash,"hotdog, hot dog, red hot","zucchini, courgette","worm fence, snake fence, snake-rail fence, Virginia fence",mashed potato,Windsor tie,pretzel,French loaf,"ice lolly, lolly, lollipop, popsicle",cheeseburger,yawl,water tower,"crossword puzzle, crossword",yurt,window shade,comic book,wine bottle,"web site, website, internet site, site",whiskey jug,street sign,window screen,"wool, woolen, woollen",whistle,wooden spoon,wing,wig,"traffic light, traffic signal, stoplight",wok,trifle,trilobite,"harvestman, daddy longlegs, Phalangium opilio","sidewinder, horned rattlesnake, Crotalus cerastes",sea snake,"diamondback, diamondback rattlesnake, Crotalus adamanteus","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",green mamba,"hot pot, hotpot",plate,consomme,menu,guacamole,"book jacket, dust cover, dust jacket, dust wrapper"
"squirrel monkey, Saimiri sciureus","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",lionfish,"African elephant, Loxodonta africana","Indian elephant, Elephas maximus","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","indri, indris, Indri indri, Indri brevicaudatus","Madagascar cat, ring-tailed lemur, Lemur catta","spider monkey, Ateles geoffroyi","balance beam, beam","apiary, bee house","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",apron,"gar, garfish, garpike, billfish, Lepisosteus osseus","assault rifle, assault gun",acoustic guitar,balloon,"backpack, back pack, knapsack, packsack, rucksack, haversack","bakery, bakeshop, bakehouse","aircraft carrier, carrier, flattop, attack aircraft carrier","accordion, piano accordion, squeeze box",analog clock,"puffer, pufferfish, blowfish, globefish",abacus,abaya,"gibbon, Hylobates lar","barracouta, snoek","academic gown, academic robe, judge's robe",airliner,"howler monkey, howler","amphibian, amphibious vehicle",ambulance,"titi, titi monkey",altar,langur,"capuchin, ringtail, Cebus capucinus","airship, dirigible",baboon,"siamang, Hylobates syndactylus, Symphalangus syndactylus","colobus, colobus monkey",sturgeon,"patas, hussar monkey, Erythrocebus patas","guenon, guenon monkey",macaque,marmoset,anemone fish,"rock beauty, Holocanthus tricolor",eel,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch","proboscis monkey, Nasalis larvatus"
bluetick,black-and-tan coonhound,"borzoi, Russian wolfhound",Irish wolfhound,"liner, ocean liner",English foxhound,redbone,"Walker hound, Walker foxhound","bloodhound, sleuthhound",beagle,Japanese spaniel,"Pekinese, Pekingese, Peke",sea lion,Chihuahua,"dugong, Dugong dugon","killer whale, killer, orca, grampus, sea wolf, Orcinus orca","Maltese dog, Maltese terrier, Maltese",Shih-Tzu,kimono,"lawn mower, mower","lipstick, lip rouge","basset, basset hound",papillon,Blenheim spaniel,"lighter, light, igniter, ignitor",toy terrier,"limousine, limo",lifeboat,Rhodesian ridgeback,"Afghan hound, Afghan",library,"lens cap, lens cover",lotion,"letter opener, paper knife, paperknife","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",Loafer,"loupe, jeweler's loupe",knee pad,knot,"lab coat, laboratory coat","lampshade, lamp shade","Scottish deerhound, deerhound",ladle,"laptop, laptop computer",Italian greyhound,"Saluki, gazelle hound",whippet,"otterhound, otter hound","Ibizan hound, Ibizan Podenco","Norwegian elkhound, elkhound"
snail,conch,slug,"sea slug, nudibranch","chiton, coat-of-mail shell, sea cradle, polyplacophore","chambered nautilus, pearly nautilus, nautilus","koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","red-breasted merganser, Mergus serrator",coucal,"rock crab, Cancer irroratus",hornbill,"wolf spider, hunting spider",toucan,"Dungeness crab, Cancer magister",jacamar,bee eater,tarantula,peacock,drake,hummingbird,fiddler crab,"barn spider, Araneus cavaticus","garden spider, Aranea diademata","black and gold garden spider, Argiope aurantia",scorpion,wombat,"black widow, Latrodectus mactans",partridge,brain coral,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",jellyfish,goose,"sea anemone, anemone",macaw,"African grey, African gray, Psittacus erithacus","ruffed grouse, partridge, Bonasa umbellus",lorikeet,quail,"wallaby, brush kangaroo","flatworm, platyhelminth","prairie chicken, prairie grouse, prairie fowl","black swan, Cygnus atratus",tusker,ptarmigan,tick,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",black grouse,"echidna, spiny anteater, anteater",centipede,"nematode, nematode worm, roundworm"
hair spray,hair slide,"grand piano, grand",guillotine,"greenhouse, nursery, glasshouse",gown,"grocery store, grocery, food market, market","grille, radiator grille",half track,"gong, tam-tam","gas pump, gasoline pump, petrol pump, island dispenser",vine snake,"night snake, Hypsiglena torquata","rock python, rock snake, Python sebae","golfcart, golf cart",water snake,goblet,gondola,"boa constrictor, Constrictor constrictor","garter snake, grass snake","hook, claw",golf ball,"king snake, kingsnake",go-kart,"hard disc, hard disk, fixed disk",hammer,"Indian cobra, Naja naja","gasmask, respirator, gas helmet",freight car,"green snake, grass snake","harmonica, mouth organ, harp, mouth harp","hognose snake, puff adder, sand viper","garbage truck, dustcart",hamper,triceratops,"hand blower, blow dryer, blow drier, hair dryer, hair drier","thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","American alligator, Alligator mississipiensis","hand-held computer, hand-held microcomputer","French horn, horn",fur coat,"frying pan, frypan, skillet","handkerchief, hankie, hanky, hankey",hatchet,holster,"harvester, reaper",honeycomb,"home theater, home theatre",harp
Crock Pot,"crib, cot",crash helmet,crate,crane,cradle,"cowboy hat, ten-gallon hat",electric guitar,"dial telephone, dial phone",electric locomotive,"electric fan, blower",envelope,entertainment center,Dutch oven,dumbbell,desk,desktop computer,"dam, dike, dyke",croquet ball,cuirass,crutch,"dock, dockage, docking facility",espresso maker,"diaper, nappy, napkin","dishrag, dishcloth","dishwasher, dish washer, dishwashing machine",digital clock,digital watch,"dining table, board",face powder,"disk brake, disc brake","cleaver, meat cleaver, chopper","chime, bell, gong","dogsled, dog sled, dog sleigh","church, church building","cinema, movie theater, movie theatre, movie house, picture palace",Christmas stocking,"china cabinet, china closet",cowboy boot,drumstick,"computer keyboard, keypad","cornet, horn, trumpet, trump",dome,"container ship, containership, container vessel","doormat, welcome mat","confectionery, confectionary, candy store","drum, membranophone, tympan","drilling platform, offshore rig","corkscrew, bottle screw",convertible
