"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","squirrel monkey, Saimiri sciureus",lionfish,"African elephant, Loxodonta africana","Indian elephant, Elephas maximus","spider monkey, Ateles geoffroyi","Madagascar cat, ring-tailed lemur, Lemur catta","balance beam, beam","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","indri, indris, Indri indri, Indri brevicaudatus","apiary, bee house","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin","gar, garfish, garpike, billfish, Lepisosteus osseus",balloon,apron,"assault rifle, assault gun","backpack, back pack, knapsack, packsack, rucksack, haversack","bakery, bakeshop, bakehouse",acoustic guitar,"aircraft carrier, carrier, flattop, attack aircraft carrier","gibbon, Hylobates lar","barracouta, snoek",analog clock,"accordion, piano accordion, squeeze box","puffer, pufferfish, blowfish, globefish",abacus,"howler monkey, howler",langur,"titi, titi monkey",abaya,sturgeon,airliner,baboon,"siamang, Hylobates syndactylus, Symphalangus syndactylus","capuchin, ringtail, Cebus capucinus","colobus, colobus monkey","patas, hussar monkey, Erythrocebus patas",anemone fish,"guenon, guenon monkey","amphibian, amphibious vehicle","rock beauty, Holocanthus tricolor","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",eel,macaque,"academic gown, academic robe, judge's robe",ambulance,altar,marmoset,"airship, dirigible","proboscis monkey, Nasalis larvatus"
wreck,"panpipe, pandean pipe, syrinx",paper towel,park bench,"parachute, chute","passenger car, coach, carriage",water jug,"parallel bars, bars",parking meter,"worm fence, snake fence, snake-rail fence, Virginia fence",Windsor tie,wine bottle,palace,wing,"patio, terrace","wool, woolen, woollen",window shade,wooden spoon,water tower,packet,whiskey jug,yawl,wok,window screen,"paddle, boat paddle",oil filter,whistle,photocopier,"organ, pipe organ","pajama, pyjama, pj's, jammies","oscilloscope, scope, cathode-ray oscilloscope, CRO",paintbrush,trilobite,wig,padlock,oxygen mask,"paddlewheel, paddle wheel",overskirt,oxcart,"sidewinder, horned rattlesnake, Crotalus cerastes","diamondback, diamondback rattlesnake, Crotalus adamanteus","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",sea snake,green mamba,pencil sharpener,"pencil box, pencil case","pedestal, plinth, footstall",Petri dish,"perfume, essence","pay-phone, pay-station"
mud turtle,"box turtle, box tortoise",banded gecko,terrapin,"whiptail, whiptail lizard","common iguana, iguana, Iguana iguana","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","American chameleon, anole, Anolis carolinensis",agama,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea","African chameleon, Chamaeleo chamaeleon","Gila monster, Heloderma suspectum",alligator lizard,"green lizard, Lacerta viridis","frilled lizard, Chlamydosaurus kingi","loggerhead, loggerhead turtle, Caretta caretta","indigo bunting, indigo finch, indigo bird, Passerina cyanea","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","tree frog, tree-frog","bullfrog, Rana catesbeiana","axolotl, mud puppy, Ambystoma mexicanum","European fire salamander, Salamandra salamandra",eft,"spotted salamander, Ambystoma maculatum","great grey owl, great gray owl, Strix nebulosa","common newt, Triturus vulgaris","water ouzel, dipper","robin, American robin, Turdus migratorius",magpie,chickadee,vulture,bulbul,golden retriever,jay,kite,"bald eagle, American eagle, Haliaeetus leucocephalus",cock,"brambling, Fringilla montifringilla","junco, snowbird","goldfinch, Carduelis carduelis","ostrich, Struthio camelus",hen,"tiger shark, Galeocerdo cuvieri",stingray,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","house finch, linnet, Carpodacus mexicanus","electric ray, crampfish, numbfish, torpedo","goldfish, Carassius auratus","tench, Tinca tinca"
bluetick,Irish wolfhound,black-and-tan coonhound,"borzoi, Russian wolfhound",English foxhound,"liner, ocean liner","Walker hound, Walker foxhound",redbone,beagle,"bloodhound, sleuthhound","Pekinese, Pekingese, Peke",sea lion,Japanese spaniel,Chihuahua,"dugong, Dugong dugon","killer whale, killer, orca, grampus, sea wolf, Orcinus orca","Maltese dog, Maltese terrier, Maltese",kimono,Shih-Tzu,"lawn mower, mower","lipstick, lip rouge",papillon,"basset, basset hound",Blenheim spaniel,toy terrier,"lighter, light, igniter, ignitor","limousine, limo",lifeboat,Rhodesian ridgeback,"Afghan hound, Afghan",lotion,library,"lens cap, lens cover","loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",Loafer,"loupe, jeweler's loupe","letter opener, paper knife, paperknife",knee pad,knot,"Scottish deerhound, deerhound","lab coat, laboratory coat","lampshade, lamp shade",ladle,"laptop, laptop computer",Italian greyhound,"Saluki, gazelle hound",whippet,"otterhound, otter hound","Ibizan hound, Ibizan Podenco","Norwegian elkhound, elkhound"
keeshond,"German shepherd, German shepherd dog, German police dog, alsatian","Eskimo dog, husky","Newfoundland, Newfoundland dog",Brabancon griffon,boxer,French bulldog,"chow, chow chow",Leonberg,"chimpanzee, chimp, Pan troglodytes",Great Pyrenees,Great Dane,otter,"malamute, malemute, Alaskan malamute",EntleBucher,"Samoyed, Samoyede","pug, pug-dog",bull mastiff,Pomeranian,"Pembroke, Pembroke Welsh corgi","skunk, polecat, wood pussy","cello, violoncello",Tibetan mastiff,"Saint Bernard, St Bernard",basenji,"affenpinscher, monkey pinscher, monkey dog","white wolf, Arctic wolf, Canis lupus tundrarum","dalmatian, coach dog, carriage dog",Siberian husky,"timber wolf, grey wolf, gray wolf, Canis lupus","Cardigan, Cardigan Welsh corgi",standard poodle,Mexican hairless,miniature poodle,chest,toy poodle,"gorilla, Gorilla gorilla",badger,"orangutan, orang, orangutang, Pongo pygmaeus","three-toed sloth, ai, Bradypus tridactylus",armadillo,"pick, plectrum, plectron",chain,"cellular telephone, cellular phone, cellphone, cell, mobile phone",chainlink fence,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","picket fence, paling","chain saw, chainsaw",pickelhaube,"pickup, pickup truck"
wire-haired fox terrier,Lakeland terrier,"Airedale, Airedale terrier","Sealyham terrier, Sealyham",Norfolk terrier,Yorkshire terrier,Norwich terrier,"Shetland sheepdog, Shetland sheep dog, Shetland",collie,Border collie,komondor,"Old English sheepdog, bobtail","Bouvier des Flandres, Bouviers des Flandres","cairn, cairn terrier",kelpie,"Irish setter, red setter",briard,Irish water spaniel,Gordon setter,Sussex spaniel,curly-coated retriever,kuvasz,Brittany spaniel,malinois,groenendael,schipperke,Australian terrier,"Scotch terrier, Scottish terrier, Scottie","clumber, clumber spaniel","silky terrier, Sydney silky","cocker spaniel, English cocker spaniel, cocker",miniature schnauzer,Weimaraner,giant schnauzer,"Boston bull, Boston terrier","English springer, English springer spaniel",Welsh springer spaniel,soft-coated wheaten terrier,"Dandie Dinmont, Dandie Dinmont terrier",West Highland white terrier,standard schnauzer,"Tibetan terrier, chrysanthemum dog",Bedlington terrier,Irish terrier,"Lhasa, Lhasa apso",Kerry blue terrier,"Staffordshire bullterrier, Staffordshire bull terrier",Border terrier,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",flat-coated retriever
"thresher, thrasher, threshing machine","switch, electric switch, electrical switch",swing,tape player,syringe,"swimming trunks, bathing trunks",teapot,table lamp,totem pole,"tank, army tank, armored combat vehicle, armoured combat vehicle","sunscreen, sunblock, sun blocker",suspension bridge,toyshop,sundial,sweatshirt,"swab, swob, mop",tractor,"teddy, teddy bear","sunglasses, dark glasses, shades",trench coat,tray,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",toaster,"tobacco shop, tobacconist shop, tobacconist","flagpole, flagstaff",torch,tile roof,combination lock,throne,"television, television system",sunglass,tennis ball,"tow truck, tow car, wrecker","coil, spiral, volute, whorl, helix",toilet seat,coffeepot,"thatch, thatched roof",cocktail shaker,coffee mug,thimble,"theater curtain, theatre curtain","clog, geta, patten, sabot","flute, transverse flute",cloak,"chiffonier, commode",forklift,fountain,folding chair,football helmet,fountain pen
hair spray,hair slide,"grand piano, grand",guillotine,gown,"greenhouse, nursery, glasshouse","rock python, rock snake, Python sebae","gas pump, gasoline pump, petrol pump, island dispenser",vine snake,"night snake, Hypsiglena torquata","grocery store, grocery, food market, market","grille, radiator grille",half track,water snake,"garter snake, grass snake","boa constrictor, Constrictor constrictor","king snake, kingsnake",four-poster,"gong, tam-tam","African crocodile, Nile crocodile, Crocodylus niloticus",goblet,"golfcart, golf cart","Indian cobra, Naja naja",gondola,"gasmask, respirator, gas helmet","green snake, grass snake",freight car,golf ball,"hognose snake, puff adder, sand viper",go-kart,triceratops,"harmonica, mouth organ, harp, mouth harp","garbage truck, dustcart","hard disc, hard disk, fixed disk",hammer,"thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","American alligator, Alligator mississipiensis","French horn, horn",hamper,"hand blower, blow dryer, blow drier, hair dryer, hair drier",fur coat,"frying pan, frypan, skillet","hand-held computer, hand-held microcomputer","handkerchief, hankie, hanky, hankey",hatchet,holster,"harvester, reaper","home theater, home theatre",harp
Crock Pot,"crib, cot",crate,crash helmet,cradle,crane,"cowboy hat, ten-gallon hat","dial telephone, dial phone",electric guitar,electric locomotive,envelope,desktop computer,"electric fan, blower",dumbbell,desk,Dutch oven,entertainment center,"dam, dike, dyke",cuirass,croquet ball,crutch,"dock, dockage, docking facility",espresso maker,cliff dwelling,"diaper, nappy, napkin","dishrag, dishcloth","cleaver, meat cleaver, chopper",cowboy boot,"dogsled, dog sled, dog sleigh",digital clock,"dishwasher, dish washer, dishwashing machine",digital watch,"chime, bell, gong","dining table, board","computer keyboard, keypad","cinema, movie theater, movie theatre, movie house, picture palace","church, church building","cornet, horn, trumpet, trump","container ship, containership, container vessel",drumstick,"disk brake, disc brake","confectionery, confectionary, candy store",Christmas stocking,"china cabinet, china closet","corkscrew, bottle screw",dome,"doormat, welcome mat",convertible,"drum, membranophone, tympan","drilling platform, offshore rig"
conch,snail,slug,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","red-breasted merganser, Mergus serrator","rock crab, Cancer irroratus",coucal,"sea slug, nudibranch","chiton, coat-of-mail shell, sea cradle, polyplacophore","wolf spider, hunting spider","chambered nautilus, pearly nautilus, nautilus",peacock,hornbill,"harvestman, daddy longlegs, Phalangium opilio",tarantula,toucan,"Dungeness crab, Cancer magister",jacamar,wombat,bee eater,"barn spider, Araneus cavaticus","garden spider, Aranea diademata","black and gold garden spider, Argiope aurantia",scorpion,"black widow, Latrodectus mactans",brain coral,hummingbird,drake,jellyfish,"sea anemone, anemone",partridge,"flatworm, platyhelminth",goose,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",macaw,"ruffed grouse, partridge, Bonasa umbellus","African grey, African gray, Psittacus erithacus","wallaby, brush kangaroo","prairie chicken, prairie grouse, prairie fowl",lorikeet,"black swan, Cygnus atratus",quail,tusker,ptarmigan,tick,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",black grouse,"echidna, spiny anteater, anteater",centipede,"nematode, nematode worm, roundworm"
