"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",mud turtle,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",agama,"African chameleon, Chamaeleo chamaeleon","Gila monster, Heloderma suspectum",alligator lizard,"green lizard, Lacerta viridis","box turtle, box tortoise","whiptail, whiptail lizard",banded gecko,"frilled lizard, Chlamydosaurus kingi","German shepherd, German shepherd dog, German police dog, alsatian",terrapin,EntleBucher,boxer,"loggerhead, loggerhead turtle, Caretta caretta",bull mastiff,Greater Swiss Mountain dog,"Doberman, Doberman pinscher",Bernese mountain dog,miniature pinscher,"indigo bunting, indigo finch, indigo bird, Passerina cyanea","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",Tibetan mastiff,Appenzeller,"tree frog, tree-frog","bullfrog, Rana catesbeiana","axolotl, mud puppy, Ambystoma mexicanum","European fire salamander, Salamandra salamandra","water ouzel, dipper",eft,"spotted salamander, Ambystoma maculatum",magpie,"robin, American robin, Turdus migratorius","common newt, Triturus vulgaris","great grey owl, great gray owl, Strix nebulosa",chickadee,bulbul,jay,vulture,kite,"bald eagle, American eagle, Haliaeetus leucocephalus","tiger shark, Galeocerdo cuvieri",stingray,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias","electric ray, crampfish, numbfish, torpedo","goldfish, Carassius auratus","tench, Tinca tinca"
missile,monitor,"megalith, megalithic structure","liner, ocean liner","microphone, mike","marimba, xylophone","mailbag, postbag",mask,minivan,magnetic compass,monastery,lifeboat,minibus,"lighter, light, igniter, ignitor","limousine, limo",library,Model T,"mobile home, manufactured home","mountain bike, all-terrain bike, off-roader","lens cap, lens cover","lawn mower, mower",milk can,mixing bowl,"letter opener, paper knife, paperknife",mitten,"microwave, microwave oven",military uniform,modem,maraca,"lipstick, lip rouge","miniskirt, mini","maillot, tank suit",mountain tent,maillot,goose,"wallaby, brush kangaroo","black swan, Cygnus atratus",lotion,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system","mouse, computer mouse","loupe, jeweler's loupe",Loafer,"lumbermill, sawmill",tusker,"mailbox, letter box",manhole cover,mousetrap,moving van,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus","echidna, spiny anteater, anteater"
Crock Pot,"crib, cot",crate,crash helmet,cradle,crane,"cowboy hat, ten-gallon hat","dial telephone, dial phone",electric guitar,electric locomotive,envelope,desktop computer,"electric fan, blower",dumbbell,desk,Dutch oven,entertainment center,"dam, dike, dyke",cuirass,croquet ball,crutch,"dock, dockage, docking facility",espresso maker,cliff dwelling,"diaper, nappy, napkin","dishrag, dishcloth","cleaver, meat cleaver, chopper",cowboy boot,"dogsled, dog sled, dog sleigh",digital clock,"dishwasher, dish washer, dishwashing machine",digital watch,"chime, bell, gong","dining table, board","computer keyboard, keypad","cinema, movie theater, movie theatre, movie house, picture palace","church, church building","cornet, horn, trumpet, trump","container ship, containership, container vessel",drumstick,"disk brake, disc brake","confectionery, confectionary, candy store",Christmas stocking,"china cabinet, china closet","corkscrew, bottle screw",dome,"doormat, welcome mat",convertible,"drum, membranophone, tympan","drilling platform, offshore rig"
wire-haired fox terrier,Lakeland terrier,"Airedale, Airedale terrier","Sealyham terrier, Sealyham",Norfolk terrier,Yorkshire terrier,Norwich terrier,"cairn, cairn terrier",kelpie,"Irish setter, red setter",Gordon setter,briard,Irish water spaniel,Sussex spaniel,curly-coated retriever,Brittany spaniel,kuvasz,golden retriever,Labrador retriever,malinois,groenendael,schipperke,"Scotch terrier, Scottish terrier, Scottie",Australian terrier,"clumber, clumber spaniel","cocker spaniel, English cocker spaniel, cocker","silky terrier, Sydney silky",Weimaraner,"English springer, English springer spaniel",miniature schnauzer,Welsh springer spaniel,giant schnauzer,"vizsla, Hungarian pointer",German short-haired pointer,"Boston bull, Boston terrier",soft-coated wheaten terrier,Chesapeake Bay retriever,West Highland white terrier,Bedlington terrier,"Dandie Dinmont, Dandie Dinmont terrier",Irish terrier,standard schnauzer,"Tibetan terrier, chrysanthemum dog",Kerry blue terrier,"Staffordshire bullterrier, Staffordshire bull terrier",Border terrier,"Lhasa, Lhasa apso","American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",English setter,flat-coated retriever
"squirrel monkey, Saimiri sciureus","giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","African elephant, Loxodonta africana","Indian elephant, Elephas maximus",lionfish,"Madagascar cat, ring-tailed lemur, Lemur catta","spider monkey, Ateles geoffroyi","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","indri, indris, Indri indri, Indri brevicaudatus","balance beam, beam","apiary, bee house","gar, garfish, garpike, billfish, Lepisosteus osseus","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",apron,"assault rifle, assault gun","backpack, back pack, knapsack, packsack, rucksack, haversack","bakery, bakeshop, bakehouse",acoustic guitar,"aircraft carrier, carrier, flattop, attack aircraft carrier","gibbon, Hylobates lar","barracouta, snoek",analog clock,"accordion, piano accordion, squeeze box","puffer, pufferfish, blowfish, globefish",abacus,"howler monkey, howler",langur,"titi, titi monkey",abaya,sturgeon,airliner,baboon,"capuchin, ringtail, Cebus capucinus","siamang, Hylobates syndactylus, Symphalangus syndactylus","colobus, colobus monkey",anemone fish,"patas, hussar monkey, Erythrocebus patas","amphibian, amphibious vehicle","rock beauty, Holocanthus tricolor","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",eel,"guenon, guenon monkey",ambulance,"academic gown, academic robe, judge's robe",macaque,altar,"chimpanzee, chimp, Pan troglodytes",marmoset,"airship, dirigible","proboscis monkey, Nasalis larvatus"
"common iguana, iguana, Iguana iguana","American chameleon, anole, Anolis carolinensis","revolver, six-gun, six-shooter",running shoe,"chiffonier, commode","flagpole, flagstaff",rifle,"rocking chair, rocker","refrigerator, icebox","scale, weighing machine",rotisserie,"flute, transverse flute","rule, ruler","remote control, remote","restaurant, eating house, eating place, eatery",reflex camera,rugby ball,"rubber eraser, rubber, pencil eraser",chest,"brassiere, bra, bandeau","bucket, pail","breakwater, groin, groyne, mole, bulwark, seawall, jetty",reel,"breastplate, aegis, egis",scabbard,broom,forklift,"recreational vehicle, RV, R.V.",fountain,folding chair,football helmet,fountain pen,sarong,"sax, saxophone",safe,safety pin,"cellular telephone, cellular phone, cellphone, cell, mobile phone",chain,"saltshaker, salt shaker",chainlink fence,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",sandal,"chain saw, chainsaw",cock,"brambling, Fringilla montifringilla","junco, snowbird","goldfinch, Carduelis carduelis","ostrich, Struthio camelus",hen,"house finch, linnet, Carpodacus mexicanus"
conch,snail,coucal,slug,hornbill,toucan,jacamar,"wolf spider, hunting spider",bee eater,tarantula,"sea slug, nudibranch","rock crab, Cancer irroratus","chiton, coat-of-mail shell, sea cradle, polyplacophore",isopod,"chambered nautilus, pearly nautilus, nautilus","barn spider, Araneus cavaticus","garden spider, Aranea diademata","koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",hummingbird,"black and gold garden spider, Argiope aurantia",peacock,drake,scorpion,"red-breasted merganser, Mergus serrator","black widow, Latrodectus mactans","Dungeness crab, Cancer magister",fiddler crab,"American lobster, Northern lobster, Maine lobster, Homarus americanus",wombat,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",partridge,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",brain coral,jellyfish,"sea anemone, anemone",macaw,"African grey, African gray, Psittacus erithacus",hermit crab,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",lorikeet,quail,"flatworm, platyhelminth","crayfish, crawfish, crawdad, crawdaddy","ruffed grouse, partridge, Bonasa umbellus","prairie chicken, prairie grouse, prairie fowl",ptarmigan,tick,black grouse,centipede,"nematode, nematode worm, roundworm"
"borzoi, Russian wolfhound",bluetick,black-and-tan coonhound,Irish wolfhound,"Walker hound, Walker foxhound",English foxhound,redbone,"bloodhound, sleuthhound",sea lion,beagle,"dugong, Dugong dugon","rock python, rock snake, Python sebae",Chihuahua,Japanese spaniel,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca","Maltese dog, Maltese terrier, Maltese","Indian cobra, Naja naja","Pekinese, Pekingese, Peke","African crocodile, Nile crocodile, Crocodylus niloticus",vine snake,"night snake, Hypsiglena torquata",four-poster,water snake,"king snake, kingsnake","boa constrictor, Constrictor constrictor","garter snake, grass snake","harvestman, daddy longlegs, Phalangium opilio",Shih-Tzu,"green snake, grass snake","hognose snake, puff adder, sand viper",papillon,freight car,triceratops,"basset, basset hound","thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","American alligator, Alligator mississipiensis",Blenheim spaniel,toy terrier,Rhodesian ridgeback,"Afghan hound, Afghan","French horn, horn",trilobite,"Scottish deerhound, deerhound",Italian greyhound,"Saluki, gazelle hound",whippet,"otterhound, otter hound","Ibizan hound, Ibizan Podenco","Norwegian elkhound, elkhound"
wreck,"panpipe, pandean pipe, syrinx","passenger car, coach, carriage",park bench,paper towel,"parachute, chute","worm fence, snake fence, snake-rail fence, Virginia fence",water jug,"parallel bars, bars",parking meter,Windsor tie,wine bottle,"patio, terrace",wing,"wool, woolen, woollen",wooden spoon,window shade,palace,water tower,packet,wok,yawl,whiskey jug,photocopier,yurt,window screen,whistle,oil filter,"organ, pipe organ","oscilloscope, scope, cathode-ray oscilloscope, CRO","paddle, boat paddle",wig,"pajama, pyjama, pj's, jammies",oxygen mask,paintbrush,padlock,"paddlewheel, paddle wheel",overskirt,oxcart,"sidewinder, horned rattlesnake, Crotalus cerastes","diamondback, diamondback rattlesnake, Crotalus adamanteus","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",sea snake,green mamba,pencil sharpener,"pencil box, pencil case","pedestal, plinth, footstall",Petri dish,"pay-phone, pay-station","perfume, essence"
vault,typewriter keyboard,"vacuum, vacuum cleaner",umbrella,"thresher, thrasher, threshing machine",vase,"upright, upright piano","unicycle, monocycle","switch, electric switch, electrical switch","swimming trunks, bathing trunks","tricycle, trike, velocipede",syringe,swing,totem pole,tape player,table lamp,teapot,"tank, army tank, armored combat vehicle, armoured combat vehicle","sunscreen, sunblock, sun blocker",suspension bridge,sweatshirt,"swab, swob, mop","sunglasses, dark glasses, shades",sundial,toaster,turnstile,"tobacco shop, tobacconist shop, tobacconist",torch,tile roof,toyshop,throne,tractor,sunglass,tray,trench coat,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",toilet seat,"tow truck, tow car, wrecker","teddy, teddy bear","television, television system",trimaran,tennis ball,tripod,trombone,"thatch, thatched roof",thimble,"theater curtain, theatre curtain",triumphal arch,"trolleybus, trolley coach, trackless trolley","tub, vat"
