"thresher, thrasher, threshing machine","switch, electric switch, electrical switch","swimming trunks, bathing trunks","tricycle, trike, velocipede",swing,tape player,syringe,table lamp,teapot,totem pole,"tank, army tank, armored combat vehicle, armoured combat vehicle","sunscreen, sunblock, sun blocker",suspension bridge,sweatshirt,"swab, swob, mop",toyshop,sundial,"sunglasses, dark glasses, shades",tractor,toaster,tray,trench coat,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi","tobacco shop, tobacconist shop, tobacconist","teddy, teddy bear",torch,tile roof,throne,sunglass,"tow truck, tow car, wrecker",toilet seat,"television, television system",tennis ball,combination lock,"thatch, thatched roof",trimaran,thimble,"theater curtain, theatre curtain","coil, spiral, volute, whorl, helix",coffeepot,cocktail shaker,coffee mug,"clog, geta, patten, sabot","flute, transverse flute",cloak,forklift,fountain,folding chair,football helmet,fountain pen
"German shepherd, German shepherd dog, German police dog, alsatian","Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",mud turtle,Rottweiler,banded gecko,"box turtle, box tortoise",agama,"whiptail, whiptail lizard","Gila monster, Heloderma suspectum","African chameleon, Chamaeleo chamaeleon","common iguana, iguana, Iguana iguana",alligator lizard,terrapin,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea","green lizard, Lacerta viridis","frilled lizard, Chlamydosaurus kingi","African crocodile, Nile crocodile, Crocodylus niloticus","loggerhead, loggerhead turtle, Caretta caretta","indigo bunting, indigo finch, indigo bird, Passerina cyanea","tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",Labrador retriever,"tree frog, tree-frog","bullfrog, Rana catesbeiana","axolotl, mud puppy, Ambystoma mexicanum","European fire salamander, Salamandra salamandra","water ouzel, dipper","robin, American robin, Turdus migratorius",eft,magpie,"spotted salamander, Ambystoma maculatum",chickadee,bulbul,"great grey owl, great gray owl, Strix nebulosa","common newt, Triturus vulgaris",jay,"vizsla, Hungarian pointer",German short-haired pointer,vulture,Chesapeake Bay retriever,kite,"tiger shark, Galeocerdo cuvieri","bald eagle, American eagle, Haliaeetus leucocephalus",stingray,"hammerhead, hammerhead shark","great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",English setter,"electric ray, crampfish, numbfish, torpedo","goldfish, Carassius auratus","tench, Tinca tinca","junco, snowbird"
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca","squirrel monkey, Saimiri sciureus",lionfish,"African elephant, Loxodonta africana","Indian elephant, Elephas maximus","spider monkey, Ateles geoffroyi","balance beam, beam","Madagascar cat, ring-tailed lemur, Lemur catta","lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens","apiary, bee house","indri, indris, Indri indri, Indri brevicaudatus","ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",balloon,"gar, garfish, garpike, billfish, Lepisosteus osseus",apron,"assault rifle, assault gun","backpack, back pack, knapsack, packsack, rucksack, haversack","bakery, bakeshop, bakehouse",acoustic guitar,"gibbon, Hylobates lar","aircraft carrier, carrier, flattop, attack aircraft carrier","barracouta, snoek",analog clock,"accordion, piano accordion, squeeze box","puffer, pufferfish, blowfish, globefish",abacus,"howler monkey, howler",langur,"titi, titi monkey",sturgeon,abaya,baboon,"siamang, Hylobates syndactylus, Symphalangus syndactylus",airliner,"capuchin, ringtail, Cebus capucinus","colobus, colobus monkey","patas, hussar monkey, Erythrocebus patas",anemone fish,"guenon, guenon monkey","rock beauty, Holocanthus tricolor","coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",eel,macaque,"amphibian, amphibious vehicle","academic gown, academic robe, judge's robe",ambulance,altar,marmoset,"airship, dirigible","proboscis monkey, Nasalis larvatus"
bluetick,black-and-tan coonhound,Irish wolfhound,"borzoi, Russian wolfhound",English foxhound,"Walker hound, Walker foxhound","liner, ocean liner",redbone,beagle,"bloodhound, sleuthhound","Pekinese, Pekingese, Peke",sea lion,Japanese spaniel,Chihuahua,"dugong, Dugong dugon","killer whale, killer, orca, grampus, sea wolf, Orcinus orca","Maltese dog, Maltese terrier, Maltese",kimono,"lawn mower, mower",Shih-Tzu,"lipstick, lip rouge",papillon,"basset, basset hound",Blenheim spaniel,"lighter, light, igniter, ignitor",toy terrier,lifeboat,"limousine, limo",Rhodesian ridgeback,"Afghan hound, Afghan",library,"lens cap, lens cover",lotion,Loafer,"letter opener, paper knife, paperknife","hognose snake, puff adder, sand viper",knee pad,triceratops,knot,"Scottish deerhound, deerhound","lab coat, laboratory coat","lampshade, lamp shade",ladle,"laptop, laptop computer",Italian greyhound,"Saluki, gazelle hound",whippet,"otterhound, otter hound","Ibizan hound, Ibizan Podenco","Norwegian elkhound, elkhound"
wreck,"passenger car, coach, carriage","panpipe, pandean pipe, syrinx",park bench,paper towel,"worm fence, snake fence, snake-rail fence, Virginia fence","parachute, chute",water jug,"parallel bars, bars",parking meter,Windsor tie,wine bottle,"patio, terrace",wing,"wool, woolen, woollen",wooden spoon,window shade,palace,water tower,packet,wok,yawl,photocopier,whiskey jug,window screen,whistle,oil filter,"organ, pipe organ","oscilloscope, scope, cathode-ray oscilloscope, CRO","paddle, boat paddle",wig,"pajama, pyjama, pj's, jammies",oxygen mask,paintbrush,trilobite,padlock,overskirt,"paddlewheel, paddle wheel",oxcart,"sidewinder, horned rattlesnake, Crotalus cerastes","diamondback, diamondback rattlesnake, Crotalus adamanteus","horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",sea snake,pencil sharpener,"pencil box, pencil case",green mamba,"pedestal, plinth, footstall",Petri dish,"pay-phone, pay-station","perfume, essence"
Crock Pot,"crib, cot",crate,crash helmet,cradle,crane,"cowboy hat, ten-gallon hat","dial telephone, dial phone",electric guitar,electric locomotive,envelope,"electric fan, blower",desktop computer,dumbbell,Dutch oven,entertainment center,desk,"dam, dike, dyke",cuirass,croquet ball,crutch,espresso maker,"dock, dockage, docking facility",cliff dwelling,"diaper, nappy, napkin","cleaver, meat cleaver, chopper","dishrag, dishcloth",cowboy boot,"dogsled, dog sled, dog sleigh",digital clock,"dishwasher, dish washer, dishwashing machine","chime, bell, gong",digital watch,"dining table, board","cinema, movie theater, movie theatre, movie house, picture palace","computer keyboard, keypad","church, church building",drumstick,"container ship, containership, container vessel","cornet, horn, trumpet, trump","disk brake, disc brake","confectionery, confectionary, candy store",Christmas stocking,"china cabinet, china closet","corkscrew, bottle screw",dome,"doormat, welcome mat","drum, membranophone, tympan",convertible,"drilling platform, offshore rig"
hair spray,hair slide,"grand piano, grand",gown,guillotine,"greenhouse, nursery, glasshouse","grocery store, grocery, food market, market","grille, radiator grille","gong, tam-tam",half track,"golfcart, golf cart",gondola,goblet,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus","gas pump, gasoline pump, petrol pump, island dispenser",golf ball,"rock python, rock snake, Python sebae",go-kart,four-poster,"Indian cobra, Naja naja","night snake, Hypsiglena torquata",vine snake,water snake,"boa constrictor, Constrictor constrictor",hammer,"albatross, mollymawk","garter snake, grass snake","king snake, kingsnake",pelican,"hard disc, hard disk, fixed disk","oystercatcher, oyster catcher","gasmask, respirator, gas helmet",freight car,hamper,"harmonica, mouth organ, harp, mouth harp","green snake, grass snake","hand blower, blow dryer, blow drier, hair dryer, hair drier","king penguin, Aptenodytes patagonica",dowitcher,"garbage truck, dustcart","hand-held computer, hand-held microcomputer","thunder snake, worm snake, Carphophis amoenus","ringneck snake, ring-necked snake, ring snake","American alligator, Alligator mississipiensis","redshank, Tringa totanus","French horn, horn","handkerchief, hankie, hanky, hankey","frying pan, frypan, skillet",fur coat,harp
shovel,shower cap,shower curtain,ski,ski mask,"American chameleon, anole, Anolis carolinensis","revolver, six-gun, six-shooter",sleeping bag,screwdriver,running shoe,rifle,shopping cart,"seat belt, seatbelt","rocking chair, rocker",rotisserie,"scale, weighing machine","refrigerator, icebox","chiffonier, commode","rule, ruler",school bus,"screen, CRT screen",scoreboard,rugby ball,schooner,"rubber eraser, rubber, pencil eraser","remote control, remote","restaurant, eating house, eating place, eatery",reflex camera,screw,scabbard,reel,chest,"recreational vehicle, RV, R.V.",sarong,"sax, saxophone",safe,safety pin,"saltshaker, salt shaker",sandal,"cellular telephone, cellular phone, cellphone, cell, mobile phone",chain,chainlink fence,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour","chain saw, chainsaw",cock,"brambling, Fringilla montifringilla","goldfinch, Carduelis carduelis","ostrich, Struthio camelus",hen,"house finch, linnet, Carpodacus mexicanus"
conch,snail,slug,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","red-breasted merganser, Mergus serrator","wolf spider, hunting spider","rock crab, Cancer irroratus",coucal,"sea slug, nudibranch","chiton, coat-of-mail shell, sea cradle, polyplacophore","chambered nautilus, pearly nautilus, nautilus",peacock,tarantula,hornbill,"harvestman, daddy longlegs, Phalangium opilio",toucan,"Dungeness crab, Cancer magister",jacamar,wombat,"barn spider, Araneus cavaticus","garden spider, Aranea diademata","black and gold garden spider, Argiope aurantia",scorpion,bee eater,"black widow, Latrodectus mactans",brain coral,"sea anemone, anemone",jellyfish,hummingbird,drake,partridge,goose,"flatworm, platyhelminth","sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita","ruffed grouse, partridge, Bonasa umbellus",macaw,"African grey, African gray, Psittacus erithacus","prairie chicken, prairie grouse, prairie fowl","wallaby, brush kangaroo","black swan, Cygnus atratus",lorikeet,quail,tusker,ptarmigan,tick,black grouse,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus","echidna, spiny anteater, anteater",centipede,"nematode, nematode worm, roundworm"
wire-haired fox terrier,Lakeland terrier,"Airedale, Airedale terrier","Sealyham terrier, Sealyham",Norfolk terrier,Yorkshire terrier,Norwich terrier,"Shetland sheepdog, Shetland sheep dog, Shetland",collie,komondor,Border collie,"Old English sheepdog, bobtail","cairn, cairn terrier",kelpie,"Irish setter, red setter",briard,Irish water spaniel,Gordon setter,Sussex spaniel,curly-coated retriever,kuvasz,Brittany spaniel,Australian terrier,"Scotch terrier, Scottish terrier, Scottie",malinois,groenendael,schipperke,golden retriever,miniature schnauzer,"silky terrier, Sydney silky",giant schnauzer,"clumber, clumber spaniel",Weimaraner,"Boston bull, Boston terrier","cocker spaniel, English cocker spaniel, cocker","Dandie Dinmont, Dandie Dinmont terrier",soft-coated wheaten terrier,"English springer, English springer spaniel",standard schnauzer,West Highland white terrier,Welsh springer spaniel,"Tibetan terrier, chrysanthemum dog",Bedlington terrier,Irish terrier,"Lhasa, Lhasa apso",Kerry blue terrier,"Staffordshire bullterrier, Staffordshire bull terrier",Border terrier,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",flat-coated retriever
